location,iso_code,vaccines,last_observation_date,source_name,source_website
Sint Maarten (Dutch part),SXM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-21,World Health Organization,https://covid19.who.int/
Slovakia,SVK,Pfizer/BioNTech,2021-05-23,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-23,National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,Oxford/AstraZeneca,2021-05-18,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2021-05-16,World Health Organization,https://covid19.who.int/
South Africa,ZAF,"Johnson&Johnson, Pfizer/BioNTech",2021-05-23,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-23,Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
South Sudan,SSD,Oxford/AstraZeneca,2021-05-21,World Health Organization,https://covid19.who.int/
Spain,ESP,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-20,Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210521.ods
Sri Lanka,LKA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-05-23,Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-23-05_10_21.pdf
Sudan,SDN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-05-09,World Health Organization,https://covid19.who.int/
Suriname,SUR,Oxford/AstraZeneca,2021-05-23,Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-21,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,"Moderna, Pfizer/BioNTech",2021-05-19,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Syria,SYR,Sputnik V,2021-04-08,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
Taiwan,TWN,Oxford/AstraZeneca,2021-05-23,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Tajikistan,TJK,Oxford/AstraZeneca,2021-05-16,World Health Organization,https://covid19.who.int/
Thailand,THA,"Oxford/AstraZeneca, Sinovac",2021-05-23,Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-24.pdf
Timor,TLS,Oxford/AstraZeneca,2021-05-17,World Health Organization,https://covid19.who.int/
Togo,TGO,Oxford/AstraZeneca,2021-05-17,Government of Togo,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Tous-ensemble
Tonga,TON,Oxford/AstraZeneca,2021-05-18,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,Oxford/AstraZeneca,2021-05-23,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,"Pfizer/BioNTech, Sinovac, Sputnik V",2021-05-22,Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4157386994300373
Turkey,TUR,"Pfizer/BioNTech, Sinovac",2021-05-23,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turkmenistan,TKM,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-04-04,World Health Organization,https://covid19.who.int/
Turks and Caicos Islands,TCA,Pfizer/BioNTech,2021-05-16,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
Tuvalu,TUV,Oxford/AstraZeneca,2021-04-27,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Uganda,UGA,Oxford/AstraZeneca,2021-05-21,Ministry of Health,https://twitter.com/MinofHealthUG/status/1396425324062289920
Ukraine,UKR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-05-23,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",2021-05-23,National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United Kingdom,GBR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-22,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2021-05-23,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-05-23,Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",2021-05-23,Government of Uzbekistan,http://zamon.uz/en/to-date-1-183-943-people-have-been-vaccinated-in-the-first-stage-and-416-561-people-have-been-vaccinated-in-the-second-stage-in-uzbekistan/
Venezuela,VEN,Sputnik V,2021-05-19,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
Vietnam,VNM,Oxford/AstraZeneca,2021-05-18,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
Wales,OWID_WLS,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-22,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Wallis and Futuna,WLF,Oxford/AstraZeneca,2021-05-18,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,Oxford/AstraZeneca,2021-05-09,World Health Organization,https://covid19.who.int/
Zambia,ZMB,Oxford/AstraZeneca,2021-05-23,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1915861658588482/
Zimbabwe,ZWE,Sinopharm/Beijing,2021-05-23,Ministry of Health,https://twitter.com/MoHCCZim/status/1396554749919518723
