location,date,vaccine,total_vaccinations
Chile,2021-02-22,Pfizer/BioNTech,125495
Chile,2021-02-22,Sinovac,2891079
Chile,2021-02-23,Pfizer/BioNTech,150342
Chile,2021-02-23,Sinovac,2960481
Chile,2021-02-24,Pfizer/BioNTech,178859
Chile,2021-02-24,Sinovac,3018227
Chile,2021-02-25,Pfizer/BioNTech,212563
Chile,2021-02-25,Sinovac,3070587
Chile,2021-02-26,Pfizer/BioNTech,242272
Chile,2021-02-26,Sinovac,3119211
Chile,2021-02-27,Pfizer/BioNTech,248533
Chile,2021-02-27,Sinovac,3122931
Chile,2021-02-28,Pfizer/BioNTech,248535
Chile,2021-02-28,Sinovac,3123284
Chile,2021-03-01,Pfizer/BioNTech,263376
Chile,2021-03-01,Sinovac,3245929
Chile,2021-03-02,Pfizer/BioNTech,294212
Chile,2021-03-02,Sinovac,3386371
Chile,2021-03-03,Pfizer/BioNTech,312723
Chile,2021-03-03,Sinovac,3679655
Chile,2021-03-04,Pfizer/BioNTech,321780
Chile,2021-03-04,Sinovac,3981046
Chile,2021-03-05,Pfizer/BioNTech,327523
Chile,2021-03-05,Sinovac,4273031
Chile,2021-03-06,Pfizer/BioNTech,327867
Chile,2021-03-06,Sinovac,4306460
Chile,2021-03-07,Pfizer/BioNTech,327973
Chile,2021-03-07,Sinovac,4314311
Chile,2021-03-08,Pfizer/BioNTech,340506
Chile,2021-03-08,Sinovac,4652249
Chile,2021-03-09,Pfizer/BioNTech,378002
Chile,2021-03-09,Sinovac,4991139
Chile,2021-03-10,Pfizer/BioNTech,419531
Chile,2021-03-10,Sinovac,5350784
Chile,2021-03-11,Pfizer/BioNTech,465219
Chile,2021-03-11,Sinovac,5722026
Chile,2021-03-12,Pfizer/BioNTech,482559
Chile,2021-03-12,Sinovac,6078884
Chile,2021-03-13,Pfizer/BioNTech,483112
Chile,2021-03-13,Sinovac,6128763
Chile,2021-03-14,Pfizer/BioNTech,483112
Chile,2021-03-14,Sinovac,6135343
Chile,2021-03-15,Pfizer/BioNTech,506862
Chile,2021-03-15,Sinovac,6541633
Chile,2021-03-16,Pfizer/BioNTech,560064
Chile,2021-03-16,Sinovac,6898154
Chile,2021-03-17,Pfizer/BioNTech,615085
Chile,2021-03-17,Sinovac,7209859
Chile,2021-03-18,Pfizer/BioNTech,663796
Chile,2021-03-18,Sinovac,7495128
Chile,2021-03-19,Pfizer/BioNTech,682944
Chile,2021-03-19,Sinovac,7766454
Chile,2021-03-20,Pfizer/BioNTech,684797
Chile,2021-03-20,Sinovac,7798728
Chile,2021-03-21,Pfizer/BioNTech,684798
Chile,2021-03-21,Sinovac,7802749
Chile,2021-03-22,Pfizer/BioNTech,717991
Chile,2021-03-22,Sinovac,8035363
Chile,2021-03-23,Pfizer/BioNTech,774536
Chile,2021-03-23,Sinovac,8216229
Chile,2021-03-24,Pfizer/BioNTech,825940
Chile,2021-03-24,Sinovac,8382339
Chile,2021-03-25,Pfizer/BioNTech,879472
Chile,2021-03-25,Sinovac,8540398
Chile,2021-03-26,Pfizer/BioNTech,917196
Chile,2021-03-26,Sinovac,8719552
Chile,2021-03-27,Pfizer/BioNTech,919185
Chile,2021-03-27,Sinovac,8733176
Chile,2021-03-28,Pfizer/BioNTech,919185
Chile,2021-03-28,Sinovac,8734566
Chile,2021-03-29,Pfizer/BioNTech,940688
Chile,2021-03-29,Sinovac,8979190
Chile,2021-03-30,Pfizer/BioNTech,997344
Chile,2021-03-30,Sinovac,9200274
Chile,2021-03-31,Pfizer/BioNTech,1042892
Chile,2021-03-31,Sinovac,9434335
Chile,2021-04-01,Pfizer/BioNTech,1066142
Chile,2021-04-01,Sinovac,9713751
Chile,2021-04-02,Pfizer/BioNTech,1066365
Chile,2021-04-02,Sinovac,9720550
Chile,2021-04-03,Pfizer/BioNTech,1066554
Chile,2021-04-03,Sinovac,9723581
Chile,2021-04-04,Pfizer/BioNTech,1066555
Chile,2021-04-04,Sinovac,9724697
Chile,2021-04-05,Pfizer/BioNTech,1097183
Chile,2021-04-05,Sinovac,9978187
Chile,2021-04-06,Pfizer/BioNTech,1179175
Chile,2021-04-06,Sinovac,10135125
Chile,2021-04-07,Pfizer/BioNTech,1267790
Chile,2021-04-07,Sinovac,10279044
Chile,2021-04-08,Pfizer/BioNTech,1345437
Chile,2021-04-08,Sinovac,10440236
Chile,2021-04-09,Pfizer/BioNTech,1394088
Chile,2021-04-09,Sinovac,10609845
Chile,2021-04-10,Pfizer/BioNTech,1401817
Chile,2021-04-10,Sinovac,10628028
Chile,2021-04-11,Pfizer/BioNTech,1402314
Chile,2021-04-11,Sinovac,10629973
Chile,2021-04-12,Pfizer/BioNTech,1466406
Chile,2021-04-12,Sinovac,10802051
Chile,2021-04-13,Pfizer/BioNTech,1553635
Chile,2021-04-13,Sinovac,10948998
Chile,2021-04-14,Pfizer/BioNTech,1641932
Chile,2021-04-14,Sinovac,11088827
Chile,2021-04-15,Pfizer/BioNTech,1708296
Chile,2021-04-15,Sinovac,11227889
Chile,2021-04-16,Pfizer/BioNTech,1755328
Chile,2021-04-16,Sinovac,11371204
Chile,2021-04-17,Pfizer/BioNTech,1761090
Chile,2021-04-17,Sinovac,11387593
Chile,2021-04-18,Pfizer/BioNTech,1761743
Chile,2021-04-18,Sinovac,11389552
Chile,2021-04-19,Pfizer/BioNTech,1783043
Chile,2021-04-19,Sinovac,11560303
Chile,2021-04-20,Pfizer/BioNTech,1824045
Chile,2021-04-20,Sinovac,11705019
Chile,2021-04-21,Pfizer/BioNTech,1868455
Chile,2021-04-21,Sinovac,11836383
Chile,2021-04-22,Pfizer/BioNTech,1914298
Chile,2021-04-22,Sinovac,11989782
Chile,2021-04-23,Pfizer/BioNTech,1942529
Chile,2021-04-23,Sinovac,12144320
Chile,2021-04-24,Pfizer/BioNTech,1944840
Chile,2021-04-24,Sinovac,12159578
Chile,2021-04-25,Pfizer/BioNTech,1944841
Chile,2021-04-25,Sinovac,12160614
Chile,2021-04-26,Pfizer/BioNTech,1989243
Chile,2021-04-26,Sinovac,12311822
Chile,2021-04-27,Pfizer/BioNTech,2051933
Chile,2021-04-27,Sinovac,12419372
Chile,2021-04-28,Oxford/AstraZeneca,3604
Chile,2021-04-28,Pfizer/BioNTech,2105949
Chile,2021-04-28,Sinovac,12529934
Chile,2021-04-29,Oxford/AstraZeneca,10141
Chile,2021-04-29,Pfizer/BioNTech,2137869
Chile,2021-04-29,Sinovac,12646097
Chile,2021-04-30,Oxford/AstraZeneca,23860
Chile,2021-04-30,Pfizer/BioNTech,2168415
Chile,2021-04-30,Sinovac,12689123
Chile,2021-05-01,Oxford/AstraZeneca,24147
Chile,2021-05-01,Pfizer/BioNTech,2169550
Chile,2021-05-01,Sinovac,12689952
Chile,2021-05-02,Oxford/AstraZeneca,24329
Chile,2021-05-02,Pfizer/BioNTech,2169940
Chile,2021-05-02,Sinovac,12690833
Chile,2021-05-03,Oxford/AstraZeneca,44415
Chile,2021-05-03,Pfizer/BioNTech,2193272
Chile,2021-05-03,Sinovac,12798422
Chile,2021-05-04,Oxford/AstraZeneca,61181
Chile,2021-05-04,Pfizer/BioNTech,2238639
Chile,2021-05-04,Sinovac,12904968
Chile,2021-05-05,Oxford/AstraZeneca,71004
Chile,2021-05-05,Pfizer/BioNTech,2286452
Chile,2021-05-05,Sinovac,13021487
Chile,2021-05-06,Oxford/AstraZeneca,78239
Chile,2021-05-06,Pfizer/BioNTech,2326617
Chile,2021-05-06,Sinovac,13131445
Chile,2021-05-07,Oxford/AstraZeneca,82387
Chile,2021-05-07,Pfizer/BioNTech,2359602
Chile,2021-05-07,Sinovac,13241028
Chile,2021-05-08,Oxford/AstraZeneca,83057
Chile,2021-05-08,Pfizer/BioNTech,2365190
Chile,2021-05-08,Sinovac,13260164
Chile,2021-05-09,Oxford/AstraZeneca,83127
Chile,2021-05-09,Pfizer/BioNTech,2365253
Chile,2021-05-09,Sinovac,13261431
Chile,2021-05-10,Oxford/AstraZeneca,86080
Chile,2021-05-10,Pfizer/BioNTech,2404090
Chile,2021-05-10,Sinovac,13392453
Chile,2021-05-11,Oxford/AstraZeneca,88059
Chile,2021-05-11,Pfizer/BioNTech,2469213
Chile,2021-05-11,Sinovac,13516812
Chile,2021-05-12,Oxford/AstraZeneca,89726
Chile,2021-05-12,Pfizer/BioNTech,2527869
Chile,2021-05-12,Sinovac,13638687
Chile,2021-05-13,Oxford/AstraZeneca,90282
Chile,2021-05-13,Pfizer/BioNTech,2574923
Chile,2021-05-13,Sinovac,13747512
Chile,2021-05-14,Oxford/AstraZeneca,90513
Chile,2021-05-14,Pfizer/BioNTech,2618922
Chile,2021-05-14,Sinovac,13861557
Chile,2021-05-15,Oxford/AstraZeneca,90553
Chile,2021-05-15,Pfizer/BioNTech,2619242
Chile,2021-05-15,Sinovac,13862698
Chile,2021-05-16,Oxford/AstraZeneca,90553
Chile,2021-05-16,Pfizer/BioNTech,2619320
Chile,2021-05-16,Sinovac,13863053
Chile,2021-05-17,Oxford/AstraZeneca,90846
Chile,2021-05-17,Pfizer/BioNTech,2672086
Chile,2021-05-17,Sinovac,13980775
Chile,2021-05-18,Oxford/AstraZeneca,92276
Chile,2021-05-18,Pfizer/BioNTech,2749757
Chile,2021-05-18,Sinovac,14084203
Chile,2021-05-19,Oxford/AstraZeneca,98780
Chile,2021-05-19,Pfizer/BioNTech,2827835
Chile,2021-05-19,Sinovac,14164947
Chile,2021-05-20,Oxford/AstraZeneca,105497
Chile,2021-05-20,Pfizer/BioNTech,2896781
Chile,2021-05-20,Sinovac,14278748
Chile,2021-05-21,Oxford/AstraZeneca,105565
Chile,2021-05-21,Pfizer/BioNTech,2903235
Chile,2021-05-21,Sinovac,14281280
Chile,2021-05-22,Oxford/AstraZeneca,106058
Chile,2021-05-22,Pfizer/BioNTech,2915378
Chile,2021-05-22,Sinovac,14301157
Chile,2021-05-23,Oxford/AstraZeneca,106078
Chile,2021-05-23,Pfizer/BioNTech,2916501
Chile,2021-05-23,Sinovac,14304286
Chile,2021-05-24,Oxford/AstraZeneca,118433
Chile,2021-05-24,Pfizer/BioNTech,2990212
Chile,2021-05-24,Sinovac,14454111
Chile,2021-05-25,Oxford/AstraZeneca,135924
Chile,2021-05-25,Pfizer/BioNTech,3100565
Chile,2021-05-25,Sinovac,14570879
Chile,2021-05-26,Oxford/AstraZeneca,161268
Chile,2021-05-26,Pfizer/BioNTech,3173670
Chile,2021-05-26,Sinovac,14699956
Chile,2021-05-27,Oxford/AstraZeneca,194661
Chile,2021-05-27,Pfizer/BioNTech,3229394
Chile,2021-05-27,Sinovac,14811524
Chile,2021-05-28,Oxford/AstraZeneca,226496
Chile,2021-05-28,Pfizer/BioNTech,3276667
Chile,2021-05-28,Sinovac,14914966
Chile,2021-05-29,Oxford/AstraZeneca,234745
Chile,2021-05-29,Pfizer/BioNTech,3288390
Chile,2021-05-29,Sinovac,14940481
Czechia,2020-12-27,Pfizer/BioNTech,1251
Czechia,2020-12-28,Pfizer/BioNTech,3545
Czechia,2020-12-29,Pfizer/BioNTech,6992
Czechia,2020-12-30,Pfizer/BioNTech,10467
Czechia,2020-12-31,Pfizer/BioNTech,11771
Czechia,2021-01-01,Pfizer/BioNTech,12032
Czechia,2021-01-02,Pfizer/BioNTech,13299
Czechia,2021-01-03,Pfizer/BioNTech,14214
Czechia,2021-01-04,Pfizer/BioNTech,17788
Czechia,2021-01-05,Pfizer/BioNTech,22279
Czechia,2021-01-06,Pfizer/BioNTech,28096
Czechia,2021-01-07,Pfizer/BioNTech,36038
Czechia,2021-01-08,Pfizer/BioNTech,45971
Czechia,2021-01-09,Pfizer/BioNTech,47984
Czechia,2021-01-10,Pfizer/BioNTech,49735
Czechia,2021-01-11,Pfizer/BioNTech,59529
Czechia,2021-01-12,Pfizer/BioNTech,72885
Czechia,2021-01-13,Pfizer/BioNTech,86362
Czechia,2021-01-14,Moderna,1225
Czechia,2021-01-14,Pfizer/BioNTech,100295
Czechia,2021-01-15,Moderna,1982
Czechia,2021-01-15,Pfizer/BioNTech,113479
Czechia,2021-01-16,Moderna,2308
Czechia,2021-01-16,Pfizer/BioNTech,116527
Czechia,2021-01-17,Moderna,2397
Czechia,2021-01-17,Pfizer/BioNTech,119668
Czechia,2021-01-18,Moderna,2574
Czechia,2021-01-18,Pfizer/BioNTech,133749
Czechia,2021-01-19,Moderna,3348
Czechia,2021-01-19,Pfizer/BioNTech,148180
Czechia,2021-01-20,Moderna,4926
Czechia,2021-01-20,Pfizer/BioNTech,162838
Czechia,2021-01-21,Moderna,5883
Czechia,2021-01-21,Pfizer/BioNTech,179156
Czechia,2021-01-22,Moderna,6078
Czechia,2021-01-22,Pfizer/BioNTech,194792
Czechia,2021-01-23,Moderna,6119
Czechia,2021-01-23,Pfizer/BioNTech,198896
Czechia,2021-01-24,Moderna,6243
Czechia,2021-01-24,Pfizer/BioNTech,201880
Czechia,2021-01-25,Moderna,6440
Czechia,2021-01-25,Pfizer/BioNTech,214230
Czechia,2021-01-26,Moderna,6713
Czechia,2021-01-26,Pfizer/BioNTech,228407
Czechia,2021-01-27,Moderna,7015
Czechia,2021-01-27,Pfizer/BioNTech,241586
Czechia,2021-01-28,Moderna,7134
Czechia,2021-01-28,Pfizer/BioNTech,254583
Czechia,2021-01-29,Moderna,7285
Czechia,2021-01-29,Pfizer/BioNTech,268419
Czechia,2021-01-30,Moderna,7287
Czechia,2021-01-30,Pfizer/BioNTech,270217
Czechia,2021-01-31,Pfizer/BioNTech,272091
Czechia,2021-02-01,Moderna,7543
Czechia,2021-02-01,Pfizer/BioNTech,283664
Czechia,2021-02-02,Moderna,7870
Czechia,2021-02-02,Pfizer/BioNTech,297618
Czechia,2021-02-03,Moderna,8597
Czechia,2021-02-03,Pfizer/BioNTech,312227
Czechia,2021-02-04,Moderna,9733
Czechia,2021-02-04,Pfizer/BioNTech,328877
Czechia,2021-02-05,Moderna,10923
Czechia,2021-02-05,Pfizer/BioNTech,343743
Czechia,2021-02-06,Moderna,11181
Czechia,2021-02-06,Pfizer/BioNTech,346658
Czechia,2021-02-07,Moderna,11444
Czechia,2021-02-07,Pfizer/BioNTech,349717
Czechia,2021-02-08,Moderna,12349
Czechia,2021-02-08,Pfizer/BioNTech,364178
Czechia,2021-02-09,Moderna,14000
Czechia,2021-02-09,Oxford/AstraZeneca,2
Czechia,2021-02-09,Pfizer/BioNTech,379485
Czechia,2021-02-10,Moderna,15742
Czechia,2021-02-10,Pfizer/BioNTech,396378
Czechia,2021-02-11,Moderna,19109
Czechia,2021-02-11,Oxford/AstraZeneca,235
Czechia,2021-02-11,Pfizer/BioNTech,415166
Czechia,2021-02-12,Moderna,21342
Czechia,2021-02-12,Oxford/AstraZeneca,631
Czechia,2021-02-12,Pfizer/BioNTech,433875
Czechia,2021-02-13,Moderna,21825
Czechia,2021-02-13,Oxford/AstraZeneca,1069
Czechia,2021-02-13,Pfizer/BioNTech,437501
Czechia,2021-02-14,Moderna,22073
Czechia,2021-02-14,Oxford/AstraZeneca,1272
Czechia,2021-02-14,Pfizer/BioNTech,439406
Czechia,2021-02-15,Moderna,23466
Czechia,2021-02-15,Oxford/AstraZeneca,2021
Czechia,2021-02-15,Pfizer/BioNTech,452912
Czechia,2021-02-16,Moderna,25934
Czechia,2021-02-16,Oxford/AstraZeneca,3184
Czechia,2021-02-16,Pfizer/BioNTech,466954
Czechia,2021-02-17,Moderna,28664
Czechia,2021-02-17,Oxford/AstraZeneca,5228
Czechia,2021-02-17,Pfizer/BioNTech,480085
Czechia,2021-02-18,Moderna,31012
Czechia,2021-02-18,Oxford/AstraZeneca,7215
Czechia,2021-02-18,Pfizer/BioNTech,495995
Czechia,2021-02-19,Moderna,32401
Czechia,2021-02-19,Oxford/AstraZeneca,8942
Czechia,2021-02-19,Pfizer/BioNTech,511945
Czechia,2021-02-20,Moderna,32404
Czechia,2021-02-20,Oxford/AstraZeneca,9587
Czechia,2021-02-20,Pfizer/BioNTech,514392
Czechia,2021-02-21,Moderna,32504
Czechia,2021-02-21,Oxford/AstraZeneca,9777
Czechia,2021-02-21,Pfizer/BioNTech,516130
Czechia,2021-02-22,Moderna,33501
Czechia,2021-02-22,Oxford/AstraZeneca,11384
Czechia,2021-02-22,Pfizer/BioNTech,529587
Czechia,2021-02-23,Moderna,34282
Czechia,2021-02-23,Oxford/AstraZeneca,14117
Czechia,2021-02-23,Pfizer/BioNTech,545857
Czechia,2021-02-24,Moderna,35610
Czechia,2021-02-24,Oxford/AstraZeneca,17049
Czechia,2021-02-24,Pfizer/BioNTech,561384
Czechia,2021-02-25,Moderna,36788
Czechia,2021-02-25,Oxford/AstraZeneca,21396
Czechia,2021-02-25,Pfizer/BioNTech,579287
Czechia,2021-02-26,Moderna,37626
Czechia,2021-02-26,Oxford/AstraZeneca,24733
Czechia,2021-02-26,Pfizer/BioNTech,596505
Czechia,2021-02-27,Moderna,37797
Czechia,2021-02-27,Oxford/AstraZeneca,25351
Czechia,2021-02-27,Pfizer/BioNTech,599198
Czechia,2021-02-28,Moderna,37990
Czechia,2021-02-28,Oxford/AstraZeneca,25822
Czechia,2021-02-28,Pfizer/BioNTech,601417
Czechia,2021-03-01,Moderna,39586
Czechia,2021-03-01,Oxford/AstraZeneca,29794
Czechia,2021-03-01,Pfizer/BioNTech,618561
Czechia,2021-03-02,Moderna,41453
Czechia,2021-03-02,Oxford/AstraZeneca,39161
Czechia,2021-03-02,Pfizer/BioNTech,637918
Czechia,2021-03-03,Moderna,45148
Czechia,2021-03-03,Oxford/AstraZeneca,48821
Czechia,2021-03-03,Pfizer/BioNTech,659579
Czechia,2021-03-04,Moderna,49893
Czechia,2021-03-04,Oxford/AstraZeneca,58130
Czechia,2021-03-04,Pfizer/BioNTech,683204
Czechia,2021-03-05,Moderna,53491
Czechia,2021-03-05,Oxford/AstraZeneca,66398
Czechia,2021-03-05,Pfizer/BioNTech,705265
Czechia,2021-03-06,Moderna,54886
Czechia,2021-03-06,Oxford/AstraZeneca,70789
Czechia,2021-03-06,Pfizer/BioNTech,712295
Czechia,2021-03-07,Moderna,56166
Czechia,2021-03-07,Oxford/AstraZeneca,74913
Czechia,2021-03-07,Pfizer/BioNTech,719049
Czechia,2021-03-08,Moderna,59236
Czechia,2021-03-08,Oxford/AstraZeneca,82723
Czechia,2021-03-08,Pfizer/BioNTech,742485
Czechia,2021-03-09,Moderna,64540
Czechia,2021-03-09,Oxford/AstraZeneca,93760
Czechia,2021-03-09,Pfizer/BioNTech,768485
Czechia,2021-03-10,Moderna,69509
Czechia,2021-03-10,Oxford/AstraZeneca,104457
Czechia,2021-03-10,Pfizer/BioNTech,800622
Czechia,2021-03-11,Moderna,73779
Czechia,2021-03-11,Oxford/AstraZeneca,116018
Czechia,2021-03-11,Pfizer/BioNTech,837504
Czechia,2021-03-12,Moderna,79197
Czechia,2021-03-12,Oxford/AstraZeneca,128085
Czechia,2021-03-12,Pfizer/BioNTech,866810
Czechia,2021-03-13,Moderna,80485
Czechia,2021-03-13,Oxford/AstraZeneca,131045
Czechia,2021-03-13,Pfizer/BioNTech,880813
Czechia,2021-03-14,Moderna,81618
Czechia,2021-03-14,Oxford/AstraZeneca,131947
Czechia,2021-03-14,Pfizer/BioNTech,891928
Czechia,2021-03-15,Moderna,88396
Czechia,2021-03-15,Oxford/AstraZeneca,139937
Czechia,2021-03-15,Pfizer/BioNTech,914041
Czechia,2021-03-16,Moderna,97584
Czechia,2021-03-16,Oxford/AstraZeneca,148504
Czechia,2021-03-16,Pfizer/BioNTech,945341
Czechia,2021-03-17,Moderna,105313
Czechia,2021-03-17,Oxford/AstraZeneca,157366
Czechia,2021-03-17,Pfizer/BioNTech,976380
Czechia,2021-03-18,Moderna,112443
Czechia,2021-03-18,Oxford/AstraZeneca,166484
Czechia,2021-03-18,Pfizer/BioNTech,1010066
Czechia,2021-03-19,Moderna,118502
Czechia,2021-03-19,Oxford/AstraZeneca,175095
Czechia,2021-03-19,Pfizer/BioNTech,1042975
Czechia,2021-03-20,Moderna,119638
Czechia,2021-03-20,Oxford/AstraZeneca,177476
Czechia,2021-03-20,Pfizer/BioNTech,1056430
Czechia,2021-03-21,Moderna,119953
Czechia,2021-03-21,Oxford/AstraZeneca,177929
Czechia,2021-03-21,Pfizer/BioNTech,1064532
Czechia,2021-03-22,Moderna,124232
Czechia,2021-03-22,Oxford/AstraZeneca,184670
Czechia,2021-03-22,Pfizer/BioNTech,1089990
Czechia,2021-03-23,Moderna,128076
Czechia,2021-03-23,Oxford/AstraZeneca,192185
Czechia,2021-03-23,Pfizer/BioNTech,1118141
Czechia,2021-03-24,Moderna,132220
Czechia,2021-03-24,Oxford/AstraZeneca,199776
Czechia,2021-03-24,Pfizer/BioNTech,1148562
Czechia,2021-03-25,Moderna,136259
Czechia,2021-03-25,Oxford/AstraZeneca,207186
Czechia,2021-03-25,Pfizer/BioNTech,1180965
Czechia,2021-03-26,Moderna,138790
Czechia,2021-03-26,Oxford/AstraZeneca,212764
Czechia,2021-03-26,Pfizer/BioNTech,1214782
Czechia,2021-03-27,Moderna,140028
Czechia,2021-03-27,Oxford/AstraZeneca,213610
Czechia,2021-03-27,Pfizer/BioNTech,1225857
Czechia,2021-03-28,Moderna,141572
Czechia,2021-03-28,Oxford/AstraZeneca,213703
Czechia,2021-03-28,Pfizer/BioNTech,1233803
Czechia,2021-03-29,Moderna,147439
Czechia,2021-03-29,Oxford/AstraZeneca,217410
Czechia,2021-03-29,Pfizer/BioNTech,1263537
Czechia,2021-03-30,Moderna,156255
Czechia,2021-03-30,Oxford/AstraZeneca,222681
Czechia,2021-03-30,Pfizer/BioNTech,1295935
Czechia,2021-03-31,Moderna,167221
Czechia,2021-03-31,Oxford/AstraZeneca,227590
Czechia,2021-03-31,Pfizer/BioNTech,1329848
Czechia,2021-04-01,Moderna,177894
Czechia,2021-04-01,Oxford/AstraZeneca,232029
Czechia,2021-04-01,Pfizer/BioNTech,1371900
Czechia,2021-04-02,Moderna,180423
Czechia,2021-04-02,Oxford/AstraZeneca,232530
Czechia,2021-04-02,Pfizer/BioNTech,1388312
Czechia,2021-04-03,Moderna,182121
Czechia,2021-04-03,Oxford/AstraZeneca,232707
Czechia,2021-04-03,Pfizer/BioNTech,1400832
Czechia,2021-04-04,Moderna,183324
Czechia,2021-04-04,Oxford/AstraZeneca,232708
Czechia,2021-04-04,Pfizer/BioNTech,1410818
Czechia,2021-04-05,Moderna,184719
Czechia,2021-04-05,Oxford/AstraZeneca,232779
Czechia,2021-04-05,Pfizer/BioNTech,1418795
Czechia,2021-04-06,Moderna,193158
Czechia,2021-04-06,Oxford/AstraZeneca,235731
Czechia,2021-04-06,Pfizer/BioNTech,1452494
Czechia,2021-04-07,Moderna,201472
Czechia,2021-04-07,Oxford/AstraZeneca,243652
Czechia,2021-04-07,Pfizer/BioNTech,1481449
Czechia,2021-04-08,Moderna,207665
Czechia,2021-04-08,Oxford/AstraZeneca,254754
Czechia,2021-04-08,Pfizer/BioNTech,1532973
Czechia,2021-04-09,Moderna,215207
Czechia,2021-04-09,Oxford/AstraZeneca,265732
Czechia,2021-04-09,Pfizer/BioNTech,1583016
Czechia,2021-04-10,Moderna,216766
Czechia,2021-04-10,Oxford/AstraZeneca,269189
Czechia,2021-04-10,Pfizer/BioNTech,1608447
Czechia,2021-04-11,Moderna,217906
Czechia,2021-04-11,Oxford/AstraZeneca,269680
Czechia,2021-04-11,Pfizer/BioNTech,1626478
Czechia,2021-04-12,Moderna,226465
Czechia,2021-04-12,Oxford/AstraZeneca,278284
Czechia,2021-04-12,Pfizer/BioNTech,1671758
Czechia,2021-04-13,Moderna,236991
Czechia,2021-04-13,Oxford/AstraZeneca,287552
Czechia,2021-04-13,Pfizer/BioNTech,1713510
Czechia,2021-04-14,Moderna,247379
